x,y
0.001222656,59.83457403
0.006365559,58.8006617
0.010666678,57.42665604
0.018582495,56.4433416
0.022432991,55.40942928
0.027950034,54.23520475
0.03682766,52.52222131
0.04570667,50.8627686
0.054588909,49.32822093
0.064581313,47.59739392
0.07568757,45.81303617
0.086796411,44.12860245
0.09790599,42.47271846
0.10901852,40.93103336
0.121244443,39.31797396
0.134583022,37.60499052
0.147924368,35.99906854
0.161268174,34.48831231
0.17572612,32.93507138
0.191299655,31.39542555
0.207987637,29.82519073
0.225791549,28.28172127
0.244711776,26.77988683
0.265862309,25.27150975
0.289243363,23.76486295
0.313743714,22.41523963
0.338248426,21.23431923
0.362757834,20.23507889
0.387272105,19.42400719
0.41179124,18.80110412
0.436314904,18.35339254
0.460841922,18.03545243
0.485373133,17.87972666
0.509909208,17.91216953
0.534448469,18.0678953
0.558990414,18.32743824
0.583536048,18.72972981
0.608085037,19.26179285
0.632637716,19.93660451
0.657194253,20.76065336
0.681754143,21.71447368
0.70631873,22.84997407
0.730887342,24.14120022
0.75434412,25.56414442
0.775572652,27.07331455
0.794571004,28.59398388
0.811338778,30.11068797
0.826992698,31.68092279
0.841533225,33.32253192
0.853840693,34.86421701
0.865033291,36.42017697
0.875110744,37.97970564
0.884071852,39.49640973
0.893037573,41.19154959
0.90088621,42.81531515
0.907618226,44.38554997
0.914354546,46.12232484
0.921092712,47.93047403
0.927830877,49.73862322
0.934568427,51.52298097
0.941305363,53.28354728
0.948043528,55.09169647
0.954780463,56.85226278
0.961519244,58.6842034
0.967123415,59.76671377
